symbol,timestamp,open,high,low,close,volume
ETH,2024-08-27 00:00:00,2682.48,2698.5,2404.35,2456.47,331.7764
ETH,2024-08-28 00:00:00,2452.55,2553.66,2422.08,2526.82,221.1633
ETH,2024-08-29 00:00:00,2531.48,2593.47,2505.42,2527.55,113.6293
ETH,2024-08-30 00:00:00,2526.45,2551.03,2434.79,2528.03,144.4679
ETH,2024-08-31 00:00:00,2525.36,2532.34,2493.3,2513.17,56.7846
ETH,2024-09-01 00:00:00,2513.66,2515.79,2401.1,2429.64,219.9537
ETH,2024-09-02 00:00:00,2426.59,2563,2426.59,2539.23,125.5994
ETH,2024-09-03 00:00:00,2537.09,2553.6,2421.13,2426.44,135.7685
ETH,2024-09-04 00:00:00,2427.7,2487.5,2309.32,2447.9,268.1334
ETH,2024-09-05 00:00:00,2447.92,2463.58,2350,2369.49,159.9787
ETH,2024-09-06 00:00:00,2369.45,2407.8,2151.25,2224.95,378.0032
ETH,2024-09-07 00:00:00,2224.75,2311.22,2221.9,2278.74,125.2389
ETH,2024-09-08 00:00:00,2276,2331.53,2246.18,2295.18,193.4812
ETH,2024-09-09 00:00:00,2297.36,2379.11,2274.75,2356.06,354.9884
ETH,2024-09-10 00:00:00,2358.03,2395,2320.9,2388.37,369.3748
ETH,2024-09-11 00:00:00,2389.01,2389.01,2278.8,2338.2,253.6507
ETH,2024-09-12 00:00:00,2339.43,2389.35,2316.52,2359.18,198.4834
ETH,2024-09-13 00:00:00,2361.9,2454.61,2339.32,2436.84,225.333
ETH,2024-09-14 00:00:00,2439.98,2439.98,2381.11,2417.22,124.195
ETH,2024-09-15 00:00:00,2416.94,2429.65,2287.41,2319.1,279.5025
ETH,2024-09-16 00:00:00,2315.93,2333.03,2253.04,2295.69,242.0616
ETH,2024-09-17 00:00:00,2294.58,2399.46,2264.2,2339.86,262.277
ETH,2024-09-18 00:00:00,2338.94,2374.54,2277.27,2367.82,396.5549
ETH,2024-09-19 00:00:00,2368.87,2492.8,2368.87,2460.06,442.6462
ETH,2024-09-20 00:00:00,2460.46,2571.47,2436.24,2559.52,457.8711
ETH,2024-09-21 00:00:00,2562.2,2621.16,2531.62,2614,162.2234
ETH,2024-09-22 00:00:00,2614.43,2631.4,2526.4,2582.93,171.4258
ETH,2024-09-23 00:00:00,2580.17,2701,2541.25,2646.91,296.8912
ETH,2024-09-24 00:00:00,2649,2669.5,2590,2653.98,317.7596
ETH,2024-09-25 00:00:00,2651.33,2671.26,2556.63,2576.96,175.3097
ETH,2024-09-26 00:00:00,2577.04,2664.69,2558.56,2632.69,298.4704
ETH,2024-09-27 00:00:00,2631.94,2725.69,2616.59,2695,138.7252
ETH,2024-09-28 00:00:00,2695,2703.87,2650.88,2675.6,82.0516
ETH,2024-09-29 00:00:00,2677.03,2682.81,2634.72,2657.77,86.5762
ETH,2024-09-30 00:00:00,2657.74,2660.52,2576.77,2602.58,217.6521
ETH,2024-10-01 00:00:00,2601.59,2656.12,2426.01,2453.73,421.5524
ETH,2024-10-02 00:00:00,2453.73,2500.06,2360,2368.27,220.1473
ETH,2024-10-03 00:00:00,2368.48,2407.02,2316.52,2351.45,124.335
ETH,2024-10-04 00:00:00,2351.51,2440.03,2344.3,2414.82,88.2379
ETH,2024-10-05 00:00:00,2415.1,2427.88,2390.46,2409.59,87.6111
ETH,2024-10-06 00:00:00,2412.61,2452.82,2405.36,2437.51,71.4392
ETH,2024-10-07 00:00:00,2437.52,2518.28,2406.44,2422.18,264.2053
ETH,2024-10-08 00:00:00,2422.17,2465.66,2402.94,2441.67,128.2935
ETH,2024-10-09 00:00:00,2441.67,2471.76,2351.87,2368.1,133.3565
ETH,2024-10-10 00:00:00,2371.86,2419.11,2332.21,2384.36,128.9592
ETH,2024-10-11 00:00:00,2384.99,2467.66,2381.85,2436.97,151.7271
ETH,2024-10-12 00:00:00,2439.4,2484.85,2432.7,2471.83,180.4791
ETH,2024-10-13 00:00:00,2471.81,2479.95,2437.2,2469.18,55.6201
ETH,2024-10-14 00:00:00,2465.3,2642.8,2443.67,2628.53,302.0188
ETH,2024-10-15 00:00:00,2628.53,2674,2538.75,2604.24,266.3226
ETH,2024-10-16 00:00:00,2606.4,2646.15,2591.56,2610.69,71.8551
ETH,2024-10-17 00:00:00,2610.77,2645.58,2576.77,2605.93,111.4992
ETH,2024-10-18 00:00:00,2605.84,2674,2596.49,2640.44,137.5948
ETH,2024-10-19 00:00:00,2640.5,2662.77,2631,2647.85,78.9369
ETH,2024-10-20 00:00:00,2648.72,2750,2635.84,2743.06,202.9215
ETH,2024-10-21 00:00:00,2744.3,2761,2656.98,2662.46,173.8234
ETH,2024-10-22 00:00:00,2660.27,2669.04,2605.64,2621.11,406.0901
ETH,2024-10-23 00:00:00,2619.84,2626.6,2453.65,2525.09,532.9348
ETH,2024-10-24 00:00:00,2525.07,2560.32,2509.77,2536.29,372.8713
ETH,2024-10-25 00:00:00,2536.57,2562.52,2384,2440.19,596.8376
ETH,2024-10-26 00:00:00,2442.68,2506.56,2431.7,2483.69,309.571
ETH,2024-10-27 00:00:00,2481.99,2522.5,2464.79,2504.26,168.5771
ETH,2024-10-28 00:00:00,2507.67,2585.84,2473.17,2563.5,300.4196
